trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,quantity,pnl,pnl_pct,fees,rr_planned,outcome,platform,timeframe_hint,source_image,source_path,capture_ts_from_name,confidence,field_confidence,dedupe_key,dataset_version,ocr_n_labels,ocr_n_gray,ocr_n_green,ocr_n_red,ocr_raw_preview,validation_issues,flags
bf40f8fedcfb250d,BTCUSDT,long,2026-08-14 11:35:12,,62640.001,,62487.79,62859.88,,,,,1.445,open,TradingView,,Screenshot_20260814-113512.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260814-113512.TradingView.png,2026-08-14 11:35:12,0.897,"{""entry"": 0.95, ""take_profit"": 0.8942476296424866, ""stop_loss"": 0.841518635749817, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",9cf3a95a1d79,v_ops_apr_sep,21,2,1,1,"63.250,000 63.200,000 Maximo 63.166,480 04:48 63.100,000 63.074,736 63.050,000 63.000,000 62.950,000 62.916,610 000 62.859,880 62.800,000 62.750,000 62.700,000 62.640.001 62.620,390 62.600,000 62.550.000 Minimo 62.535,240 500.000 62.487,790",[],
9fd9b69864ac8c73,BTCUSDT,long,2026-08-14 21:21:43,,62914.389,,62851.53,63123.54,,,,,3.327,open,TradingView,,Screenshot_20260814-212143.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260814-212143.TradingView.png,2026-08-14 21:21:43,0.884,"{""entry"": 0.8977121436595917, ""take_profit"": 0.8898436546325683, ""stop_loss"": 0.8316882157325745, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",c5c25cf63bd3,v_ops_apr_sep,18,1,1,4,"63.150,000 63.123,540 Maximo 63.095,510 03:17 63.050.000 63.043,560 .00 63.025,000 63.015,436 63.000,000 2020000 62.975,000 62950.000 62.940,210 62.925,000 62.914,389 62.900,000 62.890,391 62.875,000 62.851,530 62.825,000 68,3 64,6 52,7 50,",[],
ced722567cedc5f3,BTCUSDT,short,2026-08-18 10:52:19,,64886.36,,,64854.61,,,,,,open,TradingView,,Screenshot_20260818-105219.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260818-105219.TradingView.png,2026-08-18 10:52:19,0.849,"{""entry"": 0.95, ""take_profit"": 0.8948441433906555, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.95}",815d831e90ed,v_ops_apr_sep,15,2,2,0,"65.100,000 Maximo 65.058,810 65.000,000 4.900000 64.886,360 64.854,610 02:42 64.800,000 64.721,160 04.700,000 1:00 64.600,000 64.532,100 64.500,000 64.463,820 64.423,050 64.400,000 64.300,000",[],
8ac8b9b208e0bf3d,BTCUSDT,long,2026-08-18 13:01:30,,53369.0,,53330.8,53437.1,,,,,1.783,open,TradingView,,Screenshot_20260818-130130.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260818-130130.TradingView.png,2026-08-18 13:01:30,0.879,"{""entry"": 0.8924946117401124, ""take_profit"": 0.883801999092102, ""stop_loss"": 0.8179629707336427, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",c186c2fbc8e1,v_ops_apr_sep,17,1,1,1,"53.500,000 53486395 Maximo 53.480,500 53.460,000 53.437,100 53.420,000 53.400,000 53.380,000 53.369,000 53.360,000 53.340.000 1.2:00 53.330,800 13:00 c:cn 14:00 53.317,848 53.300,000 53.280,000 53.260,000 Minimo 53.250,200 53.240,000",[],
c1f70da47ac60164,BTCUSDT,long,2026-08-18 20:01:58,,64593.56,,64530.06,64751.03,,,,,2.48,open,TradingView,M5,Screenshot_20260818-200158.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260818-200158.TradingView.png,2026-08-18 20:01:58,0.899,"{""entry"": 0.95, ""take_profit"": 0.8973919868469238, ""stop_loss"": 0.8464212012290955, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",25ffb8e7440d,v_ops_apr_sep,19,2,1,1,"8:01 白29% 65.200,000 0 0 0 0 65.000,000 64.960,000 64.920,000 4.880.000 Maximo 64.870,890 64.840,000 64.800,000 64.760.000 64.751,030 64.725,420 64.680,000 64.640,000 19: 64.593,560 64.578,411 64.560,000 64.530,060 64.480,000 20 64.454240 7",[],
3bfbf8580dadad27,BTCUSDT,long,2026-08-19 12:09:35,,68801.205,,68254.62,,,,,,,open,TradingView,,Screenshot_20260819-120935.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260819-120935.TradingView.png,2026-08-19 12:09:35,0.7,"{""entry"": 0.95, ""stop_loss"": 0.4, ""side"": 0.55, ""symbol"": 0.9, ""capture_ts"": 0.95}",d38f99900a9c,v_ops_apr_sep,10,3,0,1,"Maximo 69.500,000 69.400,000 69.200,000 69.014,620 68.801.205 68.755,080 68.600,000 68.400,000 68.254,620 00:25 68.000,000 95,8 78,1 70,0 58.0",[],
69f76a9db9a752e8,BTCUSDT,short,2026-08-19 17:36:53,,70246.03,,,69120.0,,,,,,open,TradingView,,Screenshot_20260819-173653.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260819-173653.TradingView.png,2026-08-19 17:36:53,0.848,"{""entry"": 0.95, ""take_profit"": 0.8926969003677369, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.95}",22163ac9c083,v_ops_apr_sep,13,2,2,0,"70.400,000 70.246,030 Maximo 70.000,000 69.815,400 69.600,000 69.470,010 69.400,000 69.200,000 69.120,000 03:07 68.984,760 718000 68.801,205 68.600,000 68.400,000 16:00 68 200 000",[],
39e619221a4c6701,BTCUSDT,short,2026-08-20 18:17:47,,72642.59,,72918.19,72115.16,,,,,1.914,open,TradingView,,Screenshot_20260820-181747.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260820-181747.TradingView.png,2026-08-20 18:17:47,0.883,"{""entry"": 0.895973712205887, ""take_profit"": 0.8816920137405395, ""stop_loss"": 0.8367781352996826, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",7e8cecc929a0,v_ops_apr_sep,15,1,1,1,"73.200,000 Maximo 73.110,700 73.000,000 400 72.918,190 02:13 72.800,000 72.700,000 72.642,590 19:00 72.600,000 17:00 72.500,000 18:00 72.400,000 72.300,000 72200000 72.179,237 72.115,160 Minimo 72.074,700 72.000,000",[],
55bd8d54a0da45c7,BTCUSDT,long,2026-08-20 19:29:24,,73163.41,,,73812.0,,,,,,open,TradingView,,Screenshot_20260820-192924.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260820-192924.TradingView.png,2026-08-20 19:29:24,0.847,"{""entry"": 0.95, ""take_profit"": 0.8864184832572937, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.95}",0f4e27137668,v_ops_apr_sep,21,3,2,0,"74.000,000 Maximo 73.899,000 73.812,000 00:37 73.700,000 73.600,000 73.500,000 73.456,460 73.400,000 73.300,000 73.200.000 73.163,410 73.100,000 73.025,150 72.884,865 72.800,000 72.700,000 00:6 72.600,000 72.552,770 72.500,000 18:00 72.400,",[],
4b0152dffb946ca8,BTCUSDT,long,2026-08-20 21:47:53,,75604.57,,74585.83,,,,,,,open,TradingView,,Screenshot_20260820-214753.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260820-214753.TradingView.png,2026-08-20 21:47:53,0.7,"{""entry"": 0.95, ""stop_loss"": 0.4, ""side"": 0.55, ""symbol"": 0.9, ""capture_ts"": 0.95}",4e8fbcf0b72a,v_ops_apr_sep,10,2,0,1,"Maximo 75.785,820 75.604.570 75.550,004 75.400,000 75.238,200 75.000,000 74.800,000 74.585,830 02:07 74.400,000 74.200,000 84,2 70,0 57,2",[],
b348afbd98ca066e,BTCUSDT,long,2026-08-21 13:59:02,,53174.3,,53108.9,,,,,,,open,TradingView,H1,Screenshot_20260821-135902.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260821-135902.TradingView.png,2026-08-21 13:59:02,0.687,"{""entry"": 0.89653107047081, ""stop_loss"": 0.4, ""side"": 0.55, ""symbol"": 0.9, ""capture_ts"": 0.95}",a5f151103b9c,v_ops_apr_sep,19,1,0,1,"1:59 Vo 白40% LTE 53.420,000 53.400,000 53.380,000 53.360,000 53.340,000 53.320,000 200.000 Maximo 53.296,000 00:59 53.280,000 53.260,000 53.243,830 53.220,000 53.200,000 4:00 53_180.000 53.174,300 1H 53.161,226 13:00 53.140,000 53.120,000 1",[],
274ccb0e80a74fef,BTCUSDT,long,2026-08-24 09:11:37,,78313.3,,77871.96,79106.02,,,,,1.796,open,TradingView,,Screenshot_20260824-091137.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260824-091137.TradingView.png,2026-08-24 09:11:37,0.899,"{""entry"": 0.95, ""take_profit"": 0.8980257391929627, ""stop_loss"": 0.8458035564422608, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",015396d21e6d,v_ops_apr_sep,14,2,1,1,"79.600,000 Maximo 79.450,000 79.259,312 79.106,020 03:24 78.800,000 78.600,000 10:00 78.400,000 78.313,300 78.200,000 77.985,360 08:00 77.871,960 0.9:00 77.734,000 77.600,000 Minimo 77.442,420 70,0 62,8 50,0 06:00AM 09:00AM",[],
895de5a33c4e7c5d,BTCUSDT,,2026-08-24 18:35:33,,78972.23,,78878.92,78480.46,,,,,5.27,open,TradingView,,Screenshot_20260824-183533.TradingView.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260824-183533.TradingView.png,2026-08-24 18:35:33,0.896,"{""entry"": 0.95, ""take_profit"": 0.890289113521576, ""stop_loss"": 0.843303701877594, ""symbol"": 0.9, ""capture_ts"": 0.95}",60668e729367,v_ops_apr_sep,16,2,2,1,"79.300,000 79.259,312 79.200,000 79.146,740 Maximo 79.118,420 79.000,000 78.972,230 78900.000 78.878,920 04:27 78.802,950 78.700,000 18:00 78.600,000 19:00 Minimo 78.560,000 78-500000 78.480,460 78.400,000","[""missing_side""]",missing_side
